apower,voltage,current,time,state
1.4,120.3,0.029,1669868506,baseline
1.4,120.2,0.029,1669868507,baseline
1.4,120.2,0.029,1669868508,baseline
1.4,120.2,0.028,1669868509,baseline
1.4,120.2,0.028,1669868510,baseline
1.5,120.2,0.028,1669868511,baseline
1.5,120.2,0.028,1669868512,baseline
1.4,120.2,0.029,1669868513,baseline
1.4,120.2,0.029,1669868514,baseline
1.4,120.2,0.029,1669868515,baseline
1.4,120.2,0.029,1669868517,baseline
1.4,120.2,0.029,1669868518,baseline
1.4,120.2,0.029,1669868519,baseline
1.4,120.2,0.029,1669868520,baseline
1.4,120.2,0.029,1669868521,baseline
1.4,120.2,0.029,1669868522,baseline
1.4,120.2,0.029,1669868523,baseline
1.4,120.2,0.029,1669868524,baseline
1.4,120.2,0.029,1669868525,baseline
1.4,120.2,0.029,1669868526,baseline
1.4,120.1,0.029,1669868527,baseline
1.4,120.1,0.029,1669868528,baseline
1.4,120.1,0.028,1669868529,baseline
1.4,120.1,0.028,1669868530,baseline
1.4,120.1,0.028,1669868532,baseline
1.4,120.1,0.028,1669868533,baseline
1.4,120.1,0.028,1669868534,baseline
1.4,120.2,0.028,1669868535,baseline
1.4,120.2,0.028,1669868536,baseline
1.4,120.2,0.028,1669868537,baseline
1.4,120.2,0.028,1669868538,baseline
1.4,120.1,0.028,1669868539,baseline
1.4,120.1,0.028,1669868540,baseline
1.4,120.1,0.029,1669868541,baseline
1.4,120.1,0.029,1669868542,baseline
1.4,120.2,0.029,1669868544,baseline
1.4,120.2,0.028,1669868545,baseline
1.4,120.2,0.028,1669868546,baseline
1.4,120.1,0.028,1669868547,baseline
1.4,120.1,0.028,1669868548,baseline
1.4,120.1,0.029,1669868549,baseline
1.4,120.1,0.029,1669868550,baseline
1.4,120.2,0.029,1669868551,baseline
1.4,120.2,0.029,1669868552,baseline
1.4,120.2,0.028,1669868553,baseline
1.4,120.2,0.028,1669868554,baseline
1.4,120.1,0.028,1669868555,baseline
1.4,120.1,0.028,1669868556,baseline
1.4,120.1,0.029,1669868558,baseline
1.4,120.0,0.029,1669868559,baseline
1.4,120.0,0.029,1669868560,baseline
1.4,120.0,0.029,1669868561,baseline
1.4,120.0,0.029,1669868562,baseline
1.5,120.1,0.029,1669868563,baseline
1.5,120.1,0.029,1669868564,baseline
1.4,120.1,0.029,1669868565,baseline
1.4,120.1,0.029,1669868566,baseline
1.4,120.1,0.029,1669868567,baseline
1.4,120.1,0.029,1669868568,baseline
1.4,120.1,0.029,1669868569,baseline
1.4,120.1,0.029,1669868570,baseline
1.4,120.1,0.029,1669868572,baseline
1.4,120.1,0.029,1669868573,baseline
1.4,120.1,0.029,1669868574,baseline
1.4,120.3,0.029,1669868575,baseline
1.4,120.3,0.029,1669868576,baseline
1.4,120.3,0.029,1669868577,baseline
1.4,120.3,0.029,1669868578,baseline
1.4,120.3,0.029,1669868579,baseline
1.4,120.3,0.029,1669868580,baseline
1.4,120.3,0.029,1669868581,baseline
1.4,120.3,0.029,1669868582,baseline
1.4,120.3,0.029,1669868583,baseline
1.4,120.3,0.029,1669868585,baseline
1.4,120.3,0.029,1669868586,baseline
1.4,120.3,0.029,1669868587,baseline
1.4,120.3,0.029,1669868588,baseline
1.4,120.3,0.028,1669868589,baseline
1.4,120.3,0.028,1669868590,baseline
1.5,120.3,0.028,1669868591,baseline
1.5,120.3,0.028,1669868592,baseline
1.4,120.3,0.029,1669868593,baseline
1.4,120.3,0.029,1669868594,baseline
1.4,120.3,0.029,1669868595,baseline
1.4,120.3,0.029,1669868596,baseline
1.4,120.3,0.029,1669868597,baseline
1.4,120.3,0.029,1669868598,baseline
1.5,120.3,0.029,1669868600,baseline
1.4,120.3,0.028,1669868601,baseline
1.4,120.3,0.028,1669868602,baseline
1.4,120.3,0.028,1669868603,baseline
1.4,120.3,0.028,1669868604,baseline
1.5,120.3,0.028,1669868605,baseline
1.5,120.3,0.028,1669868606,baseline
1.4,120.3,0.028,1669868607,baseline
1.4,120.3,0.028,1669868608,baseline
1.4,120.3,0.029,1669868609,baseline
1.4,120.3,0.029,1669868610,baseline
1.4,120.3,0.029,1669868611,baseline
1.4,120.3,0.029,1669868613,baseline
1.4,120.3,0.029,1669868614,baseline
1.4,120.3,0.029,1669868615,baseline
1.4,120.3,0.029,1669868616,baseline
1.5,120.3,0.029,1669868617,baseline
1.5,120.3,0.029,1669868618,baseline
1.5,120.3,0.029,1669868619,baseline
1.5,120.3,0.029,1669868620,baseline
1.4,120.3,0.029,1669868621,baseline
1.4,120.3,0.029,1669868622,baseline
1.4,120.3,0.029,1669868623,baseline
