timestamp,type,source_ip,source_port,destination_ip,destination_port,protocol,packet_size
1669868504.379554,IP,172.16.42.226,59076,172.16.42.1,1471,6,0
1669868504.387891,IP,172.16.42.1,53,172.16.42.226,53529,17,45
1669868504.388662,IP,172.16.42.1,53,172.16.42.226,35260,17,29
1669868504.389832,IP,172.16.42.226,40520,23.217.138.110,443,6,0
1669868504.511311,IP,75.2.39.155,443,172.16.42.215,41134,6,46
1669868504.552486,IP,172.16.42.215,41134,75.2.39.155,443,6,46
1669868504.630794,IP,75.2.39.155,443,172.16.42.215,41134,6,0
1669868505.413845,IP,172.16.42.226,40520,23.217.138.110,443,6,0
1669868508.156257,IP,172.16.42.226,59076,172.16.42.1,1471,6,1088
1669868508.156491,IP,172.16.42.1,1471,172.16.42.226,59076,6,0
1669868508.227658,IP,172.16.42.226,56940,172.16.42.1,1471,6,1095
1669868508.231463,IP,172.16.42.1,1471,172.16.42.226,56940,6,139
1669868508.232226,IP,172.16.42.226,56940,172.16.42.1,1471,6,0
1669868508.236202,IP,172.16.42.1,1471,172.16.42.226,59076,6,390
1669868508.241382,IP,172.16.42.226,59076,172.16.42.1,1471,6,0
1669868509.407554,IP,172.16.42.226,59076,172.16.42.1,1471,6,1270
1669868509.40779,IP,172.16.42.1,1471,172.16.42.226,59076,6,0
1669868509.562419,IP,162.159.134.234,443,172.16.42.226,60486,6,149
1669868509.685975,IP,172.16.42.1,1471,172.16.42.226,59076,6,208
1669868509.75104,IP,162.159.134.234,443,172.16.42.226,60486,6,102
1669868509.912811,IP,172.16.42.226,60486,162.159.134.234,443,6,0
1669868509.912813,IP,172.16.42.226,59076,172.16.42.1,1471,6,0
1669868509.912813,IP,172.16.42.226,60486,162.159.134.234,443,6,0
1669868509.9213,IP,172.16.42.226,59076,172.16.42.1,1471,6,1229
1669868509.921526,IP,172.16.42.1,1471,172.16.42.226,59076,6,0
1669868510.116172,IP,172.16.42.226,50280,162.159.128.232,443,6,0
1669868510.122985,IP,162.159.128.232,443,172.16.42.226,50280,6,0
1669868510.728423,IP,172.16.42.1,1471,172.16.42.226,59076,6,276
1669868511.180218,IP,172.16.42.226,59076,172.16.42.1,1471,6,0
1669868511.28363,IP,162.159.134.234,443,172.16.42.226,60486,6,76
1669868511.340765,IP,172.16.42.226,60486,162.159.134.234,443,6,0
1669868512.062339,IP,172.16.42.215,51999,34.192.185.206,443,6,33
1669868512.126897,IP,34.192.185.206,443,172.16.42.215,51999,6,31
1669868512.137169,IP,172.16.42.215,51999,34.192.185.206,443,6,0
1669868512.450588,IP,162.159.134.234,443,172.16.42.226,60486,6,111
1669868512.979685,IP,172.16.42.226,60486,162.159.134.234,443,6,0
1669868513.237095,IP,172.16.42.226,59076,172.16.42.1,1471,6,1095
1669868513.237319,IP,172.16.42.1,1471,172.16.42.226,59076,6,0
1669868513.240801,IP,172.16.42.1,1471,172.16.42.226,59076,6,139
1669868513.243982,IP,172.16.42.226,59076,172.16.42.1,1471,6,0
1669868513.489981,IP,162.159.134.234,443,172.16.42.226,60486,6,66
1669868513.493197,IP,162.159.134.234,443,172.16.42.226,60486,6,47
1669868514.00343,IP,172.16.42.226,60486,162.159.134.234,443,6,0
1669868514.003431,IP,172.16.42.226,60486,162.159.134.234,443,6,0
1669868514.426808,IP,172.16.42.226,59076,172.16.42.1,1471,6,1270
1669868514.42704,IP,172.16.42.1,1471,172.16.42.226,59076,6,0
1669868514.701894,IP,172.16.42.1,1471,172.16.42.226,59076,6,208
