apower,voltage,current,time,state
2.4,120.2,0.042,1669868992,mute
2.3,120.2,0.038,1669868993,mute
2.3,120.2,0.038,1669868994,mute
2.1,120.2,0.038,1669868995,mute
2.1,120.2,0.038,1669868996,mute
1.9,120.2,0.036,1669868997,mute
1.9,120.2,0.036,1669868998,mute
2.0,120.5,0.036,1669868999,mute
2.0,120.5,0.036,1669869000,mute
2.1,120.5,0.036,1669869001,mute
2.0,120.1,0.036,1669869003,mute
2.0,120.1,0.036,1669869004,mute
2.1,120.1,0.036,1669869005,mute
2.1,120.1,0.036,1669869006,mute
1.9,120.2,0.036,1669869007,mute
1.9,120.2,0.036,1669869008,mute
2.1,120.2,0.037,1669869009,mute
2.1,120.2,0.037,1669869010,mute
2.0,119.7,0.037,1669869011,mute
2.0,119.7,0.037,1669869012,mute
1.9,119.7,0.035,1669869014,mute
1.9,119.7,0.035,1669869015,mute
1.9,119.7,0.035,1669869016,mute
1.9,119.7,0.035,1669869017,mute
1.9,119.7,0.035,1669869018,mute
2.0,119.7,0.035,1669869019,mute
2.0,119.7,0.035,1669869020,mute
2.1,119.7,0.037,1669869021,mute
2.1,119.7,0.037,1669869022,mute
3.0,119.8,0.037,1669869023,mute
3.0,119.8,0.037,1669869024,mute
3.3,119.8,0.052,1669869025,mute
3.3,119.8,0.052,1669869026,mute
3.0,120.5,0.052,1669869028,mute
3.1,120.5,0.053,1669869029,mute
3.1,120.5,0.053,1669869030,mute
2.9,120.5,0.053,1669869031,mute
2.9,120.5,0.053,1669869032,mute
2.9,120.5,0.051,1669869033,mute
2.9,120.5,0.051,1669869034,mute
3.1,120.5,0.051,1669869035,mute
3.1,120.5,0.051,1669869036,mute
2.9,120.5,0.05,1669869037,mute
2.9,120.5,0.05,1669869038,mute
3.1,120.5,0.05,1669869040,mute
2.9,120.5,0.051,1669869041,mute
2.9,120.5,0.051,1669869042,mute
2.9,120.5,0.051,1669869043,mute
2.9,120.5,0.051,1669869044,mute
2.8,120.5,0.051,1669869045,mute
2.8,120.5,0.051,1669869046,mute
3.1,120.5,0.051,1669869047,mute
3.1,120.5,0.051,1669869048,mute
2.5,120.5,0.037,1669869049,mute
2.5,120.5,0.037,1669869050,mute
2.4,120.5,0.037,1669869051,mute
2.4,120.5,0.037,1669869053,mute
3.1,120.5,0.055,1669869054,mute
2.9,120.5,0.055,1669869055,mute
2.9,120.5,0.055,1669869056,mute
2.9,120.5,0.051,1669869057,mute
2.9,120.5,0.051,1669869058,mute
2.9,120.5,0.051,1669869059,mute
2.9,120.5,0.051,1669869060,mute
2.9,120.5,0.048,1669869061,mute
2.9,120.5,0.048,1669869062,mute
2.4,120.5,0.048,1669869063,mute
2.4,120.5,0.048,1669869064,mute
2.9,120.5,0.052,1669869065,mute
2.9,120.6,0.052,1669869067,mute
2.9,120.6,0.052,1669869068,mute
2.8,120.6,0.049,1669869069,mute
2.8,120.6,0.049,1669869070,mute
2.8,120.5,0.049,1669869071,mute
2.8,120.5,0.049,1669869072,mute
2.6,120.5,0.041,1669869073,mute
2.6,120.5,0.041,1669869074,mute
1.9,120.6,0.041,1669869075,mute
1.9,120.6,0.041,1669869076,mute
2.8,120.6,0.052,1669869077,mute
2.8,120.6,0.052,1669869078,mute
3.1,120.3,0.052,1669869079,mute
3.1,120.3,0.052,1669869080,mute
2.8,120.3,0.049,1669869082,mute
2.9,120.2,0.049,1669869083,mute
2.9,120.2,0.049,1669869084,mute
2.9,120.2,0.054,1669869085,mute
2.9,120.2,0.054,1669869086,mute
2.9,120.2,0.054,1669869087,mute
2.9,120.2,0.054,1669869088,mute
2.8,120.2,0.05,1669869089,mute
2.8,120.2,0.05,1669869090,mute
2.9,120.5,0.05,1669869091,mute
2.7,120.5,0.048,1669869093,mute
2.7,120.5,0.048,1669869094,mute
2.8,120.4,0.048,1669869095,mute
2.8,120.4,0.048,1669869096,mute
2.8,120.4,0.042,1669869097,mute
2.8,120.4,0.042,1669869098,mute
2.2,120.5,0.042,1669869099,mute
2.2,120.5,0.042,1669869100,mute
2.3,120.5,0.042,1669869101,mute
2.3,120.5,0.042,1669869102,mute
2.3,120.5,0.042,1669869103,mute
2.3,120.5,0.042,1669869104,mute
2.3,120.5,0.04,1669869106,mute
2.4,120.5,0.04,1669869107,mute
2.4,120.5,0.04,1669869108,mute
2.2,120.5,0.039,1669869109,mute
2.2,120.5,0.039,1669869110,mute
2.3,120.5,0.039,1669869111,mute
