apower,voltage,current,time,state
1.7,120.2,0.032,1669869785,music
1.7,120.2,0.032,1669869787,music
1.6,120.2,0.032,1669869788,music
1.6,120.2,0.032,1669869789,music
1.6,120.2,0.031,1669869790,music
1.6,120.3,0.031,1669869791,music
1.6,120.3,0.031,1669869792,music
1.6,120.3,0.031,1669869793,music
1.6,120.3,0.031,1669869794,music
1.6,120.3,0.031,1669869795,music
1.6,120.3,0.031,1669869796,music
1.7,120.3,0.031,1669869797,music
1.7,120.3,0.031,1669869798,music
1.6,120.3,0.031,1669869799,music
1.6,120.3,0.031,1669869800,music
1.6,120.3,0.031,1669869801,music
1.6,120.3,0.031,1669869803,music
1.6,120.3,0.031,1669869804,music
1.6,120.3,0.031,1669869805,music
1.6,120.3,0.031,1669869806,music
1.6,120.2,0.031,1669869807,music
1.6,120.2,0.031,1669869808,music
1.6,120.2,0.031,1669869809,music
1.6,120.2,0.031,1669869810,music
1.6,120.2,0.031,1669869811,music
1.6,120.2,0.031,1669869812,music
1.7,120.2,0.032,1669869813,music
1.7,120.2,0.032,1669869814,music
1.7,120.2,0.032,1669869816,music
1.7,120.2,0.032,1669869817,music
1.6,120.2,0.031,1669869818,music
1.6,120.1,0.031,1669869819,music
1.6,120.1,0.031,1669869820,music
1.6,120.1,0.032,1669869821,music
1.6,120.1,0.032,1669869822,music
1.6,120.1,0.032,1669869824,music
1.6,120.1,0.032,1669869825,music
1.7,120.1,0.031,1669869826,music
1.6,120.1,0.031,1669869827,music
1.6,120.1,0.031,1669869828,music
1.6,120.1,0.031,1669869829,music
1.6,120.1,0.031,1669869830,music
1.7,120.1,0.031,1669869831,music
1.7,120.1,0.031,1669869832,music
1.6,120.1,0.031,1669869833,music
1.6,120.1,0.031,1669869834,music
1.6,119.9,0.031,1669869835,music
1.6,119.9,0.031,1669869836,music
1.6,119.9,0.031,1669869837,music
1.6,119.9,0.031,1669869839,music
1.6,119.8,0.031,1669869840,music
1.6,119.8,0.031,1669869841,music
1.6,119.8,0.032,1669869842,music
1.7,119.8,0.032,1669869843,music
1.7,119.8,0.032,1669869844,music
1.7,119.8,0.032,1669869845,music
1.7,119.8,0.032,1669869846,music
1.6,119.8,0.032,1669869847,music
1.6,119.8,0.032,1669869848,music
1.6,119.8,0.032,1669869849,music
1.6,119.8,0.032,1669869850,music
1.6,119.7,0.032,1669869851,music
1.6,119.7,0.032,1669869853,music
1.6,119.7,0.031,1669869854,music
1.6,119.7,0.031,1669869855,music
1.6,119.8,0.031,1669869856,music
1.6,119.8,0.032,1669869857,music
1.6,119.8,0.032,1669869858,music
1.7,119.8,0.032,1669869859,music
1.7,119.8,0.032,1669869860,music
1.7,119.8,0.032,1669869861,music
1.7,119.8,0.032,1669869862,music
1.6,120.1,0.032,1669869863,music
1.6,120.1,0.032,1669869864,music
1.7,120.1,0.032,1669869865,music
1.7,120.1,0.032,1669869866,music
1.7,120.0,0.032,1669869867,music
1.7,120.0,0.032,1669869869,music
1.6,120.0,0.031,1669869870,music
1.6,120.0,0.031,1669869871,music
1.6,119.8,0.031,1669869872,music
1.6,119.8,0.032,1669869873,music
1.6,119.8,0.032,1669869874,music
1.6,119.3,0.032,1669869875,music
1.6,119.3,0.032,1669869876,music
1.6,119.3,0.031,1669869877,music
1.6,119.3,0.031,1669869878,music
1.6,119.5,0.031,1669869879,music
1.6,119.5,0.031,1669869880,music
1.7,119.5,0.031,1669869881,music
1.7,119.5,0.031,1669869883,music
1.6,119.6,0.031,1669869884,music
1.6,119.6,0.031,1669869885,music
1.6,119.6,0.031,1669869886,music
1.7,119.7,0.031,1669869887,music
1.7,119.7,0.031,1669869888,music
1.6,119.7,0.032,1669869889,music
1.6,119.7,0.032,1669869890,music
1.7,120.2,0.032,1669869891,music
1.7,120.2,0.032,1669869892,music
1.7,120.2,0.032,1669869893,music
1.7,120.2,0.032,1669869894,music
1.6,120.1,0.032,1669869895,music
1.6,120.1,0.032,1669869896,music
1.6,120.1,0.031,1669869898,music
1.6,120.1,0.031,1669869899,music
1.6,119.8,0.031,1669869900,music
1.6,119.8,0.031,1669869901,music
1.6,119.8,0.031,1669869902,music
1.6,119.4,0.031,1669869903,music
1.6,119.4,0.031,1669869904,music
