timestamp,type,source_ip,source_port,destination_ip,destination_port,protocol,packet_size
1669869783.815093,IP,172.16.42.215,39705,3.221.46.196,443,6,33
1669869783.879812,IP,3.221.46.196,443,172.16.42.215,39705,6,0
1669869783.880365,IP,3.221.46.196,443,172.16.42.215,39705,6,31
1669869783.883405,IP,172.16.42.215,39705,3.221.46.196,443,6,0
1669869784.224209,IP,172.16.42.226,53092,172.16.42.1,1471,6,0
1669869785.098817,IP,162.159.134.234,443,172.16.42.226,60486,6,214
1669869785.607763,IP,172.16.42.226,60486,162.159.134.234,443,6,0
1669869786.06799,IP,162.159.134.234,443,172.16.42.226,60486,6,315
1669869786.363103,IP,172.16.42.226,34532,142.251.116.100,80,6,112
1669869786.365795,IP,172.16.42.226,60486,162.159.134.234,443,6,0
1669869786.400091,IP,142.251.116.100,80,172.16.42.226,34532,6,127
1669869786.401138,IP,172.16.42.226,34532,142.251.116.100,80,6,0
1669869788.159874,IP,172.16.42.226,53092,172.16.42.1,1471,6,1088
1669869788.160111,IP,172.16.42.1,1471,172.16.42.226,53092,6,0
1669869788.221951,IP,172.16.42.226,59718,172.16.42.1,1471,6,1095
1669869788.222244,IP,172.16.42.1,1471,172.16.42.226,59718,6,0
1669869788.22611,IP,172.16.42.1,1471,172.16.42.226,59718,6,139
1669869788.230936,IP,172.16.42.226,59718,172.16.42.1,1471,6,0
1669869788.241163,IP,172.16.42.1,1471,172.16.42.226,53092,6,390
1669869788.241954,IP,172.16.42.226,53092,172.16.42.1,1471,6,0
1669869789.214403,IP,172.16.42.226,53092,172.16.42.1,1471,6,1270
1669869789.214637,IP,172.16.42.1,1471,172.16.42.226,53092,6,0
1669869789.47899,IP,172.16.42.1,1471,172.16.42.226,53092,6,208
1669869789.908547,IP,172.16.42.226,53092,172.16.42.1,1471,6,0
1669869789.929363,IP,172.16.42.226,53092,172.16.42.1,1471,6,1229
1669869789.929585,IP,172.16.42.1,1471,172.16.42.226,53092,6,0
1669869790.666052,IP,172.16.42.1,1471,172.16.42.226,53092,6,285
1669869791.006025,IP,172.16.42.226,34356,35.186.224.47,443,6,43
1669869791.012775,IP,35.186.224.47,443,172.16.42.226,34356,6,0
1669869791.058076,IP,35.186.224.47,443,172.16.42.226,34356,6,40
1669869791.075848,IP,172.16.42.226,53092,172.16.42.1,1471,6,0
1669869791.078884,IP,162.159.134.234,443,172.16.42.226,60486,6,284
1669869791.080254,IP,172.16.42.226,34356,35.186.224.47,443,6,0
1669869791.080255,IP,172.16.42.226,60486,162.159.134.234,443,6,0
1669869791.590391,IP,162.159.134.234,443,172.16.42.226,60486,6,620
1669869791.963293,IP,172.16.42.226,60486,162.159.134.234,443,6,0
1669869792.139142,IP,162.159.134.234,443,172.16.42.226,60486,6,418
1669869792.141064,IP,172.16.42.226,60486,162.159.134.234,443,6,0
1669869792.317329,IP,162.159.134.234,443,172.16.42.226,60486,6,239
1669869792.389876,IP,162.159.134.234,443,172.16.42.226,60486,6,338
1669869792.775888,IP,172.16.42.226,60486,162.159.134.234,443,6,0
1669869792.776277,IP,172.16.42.226,60486,162.159.134.234,443,6,0
1669869793.193591,IP,172.16.42.226,45480,35.244.218.227,443,6,0
1669869793.204872,IP,35.244.218.227,443,172.16.42.226,45480,6,0
1669869793.22769,IP,172.16.42.226,53092,172.16.42.1,1471,6,1095
1669869793.227927,IP,172.16.42.1,1471,172.16.42.226,53092,6,0
1669869793.229808,IP,172.16.42.226,59718,172.16.42.1,1471,6,1088
1669869793.233014,IP,172.16.42.1,1471,172.16.42.226,53092,6,139
1669869793.233834,IP,172.16.42.226,53092,172.16.42.1,1471,6,0
1669869793.2703,IP,172.16.42.1,1471,172.16.42.226,59718,6,0
1669869793.303296,IP,162.159.134.234,443,172.16.42.226,60486,6,68
1669869793.305915,IP,172.16.42.226,60486,162.159.134.234,443,6,0
1669869793.314433,IP,172.16.42.1,1471,172.16.42.226,59718,6,390
1669869793.315349,IP,172.16.42.226,59718,172.16.42.1,1471,6,0
1669869793.438285,IP,172.16.42.1,1471,172.16.42.226,43124,6,0
1669869793.438411,IP,172.16.42.1,1471,172.16.42.226,37722,6,0
1669869793.704595,IP,172.16.42.226,60646,44.240.84.205,443,6,113
1669869793.704596,IP,172.16.42.226,60646,44.240.84.205,443,6,460
1669869793.704596,IP,172.16.42.226,37722,172.16.42.1,1471,6,0
1669869793.704596,IP,172.16.42.226,43124,172.16.42.1,1471,6,0
1669869793.744726,IP,44.240.84.205,443,172.16.42.226,60646,6,0
1669869793.745228,IP,44.240.84.205,443,172.16.42.226,60646,6,0
1669869793.745409,IP,44.240.84.205,443,172.16.42.226,60646,6,46
1669869793.761882,IP,44.240.84.205,443,172.16.42.226,60646,6,575
1669869793.762631,IP,44.240.84.205,443,172.16.42.226,60646,6,38
1669869793.763721,IP,172.16.42.226,60646,44.240.84.205,443,6,0
1669869793.771268,IP,172.16.42.226,60646,44.240.84.205,443,6,42
1669869793.852098,IP,44.240.84.205,443,172.16.42.226,60646,6,0
1669869793.864548,IP,162.159.134.234,443,172.16.42.226,60486,6,133
1669869793.86538,IP,172.16.42.226,60486,162.159.134.234,443,6,0
1669869794.209247,IP,172.16.42.226,59718,172.16.42.1,1471,6,1270
1669869794.209483,IP,172.16.42.1,1471,172.16.42.226,59718,6,0
1669869794.4949,IP,172.16.42.1,1471,172.16.42.226,59718,6,208
1669869794.585993,IP,162.159.134.234,443,172.16.42.226,60486,6,80
1669869794.762288,IP,162.159.134.234,443,172.16.42.226,60486,6,53
1669869795.054941,IP,172.16.42.226,59718,172.16.42.1,1471,6,0
1669869795.054942,IP,172.16.42.226,60486,162.159.134.234,443,6,0
1669869795.054943,IP,172.16.42.226,60486,162.159.134.234,443,6,0
1669869795.063297,IP,172.16.42.226,59718,172.16.42.1,1471,6,1229
1669869795.063618,IP,172.16.42.1,1471,172.16.42.226,59718,6,0
1669869795.09849,IP,162.159.134.234,443,172.16.42.226,60486,6,58
1669869795.099599,IP,172.16.42.226,60486,162.159.134.234,443,6,0
1669869795.491821,IP,162.159.134.234,443,172.16.42.226,60486,6,43
1669869795.685678,IP,162.159.134.234,443,172.16.42.226,60486,6,149
1669869795.846293,IP,172.16.42.1,1471,172.16.42.226,59718,6,325
1669869795.856099,IP,172.16.42.226,60486,162.159.134.234,443,6,0
1669869795.856101,IP,172.16.42.226,60486,162.159.134.234,443,6,0
1669869795.904324,IP,172.16.42.226,59718,172.16.42.1,1471,6,0
1669869798.150525,IP,172.16.42.226,59718,172.16.42.1,1471,6,1088
1669869798.150783,IP,172.16.42.1,1471,172.16.42.226,59718,6,0
1669869798.208603,IP,172.16.42.1,1471,172.16.42.226,59718,6,390
1669869798.209518,IP,172.16.42.226,59718,172.16.42.1,1471,6,0
1669869798.219834,IP,172.16.42.226,59718,172.16.42.1,1471,6,1095
1669869798.220061,IP,172.16.42.1,1471,172.16.42.226,59718,6,0
1669869798.224098,IP,172.16.42.1,1471,172.16.42.226,59718,6,139
1669869798.272627,IP,172.16.42.226,59718,172.16.42.1,1471,6,0
1669869798.515235,IP,162.159.134.234,443,172.16.42.226,60486,6,163
1669869798.925771,IP,172.16.42.226,60486,162.159.134.234,443,6,0
1669869799.205817,IP,172.16.42.226,59718,172.16.42.1,1471,6,1270
1669869799.206055,IP,172.16.42.1,1471,172.16.42.226,59718,6,0
1669869799.420508,IP,162.159.134.234,443,172.16.42.226,60486,6,1441
1669869799.421108,IP,162.159.134.234,443,172.16.42.226,60486,6,1441
1669869799.421351,IP,162.159.134.234,443,172.16.42.226,60486,6,266
1669869799.484653,IP,172.16.42.1,1471,172.16.42.226,59718,6,208
1669869799.944191,IP,172.16.42.226,59718,172.16.42.1,1471,6,0
1669869799.944192,IP,172.16.42.226,60486,162.159.134.234,443,6,0
1669869799.953553,IP,172.16.42.226,59718,172.16.42.1,1471,6,1229
1669869799.953776,IP,172.16.42.1,1471,172.16.42.226,59718,6,0
1669869800.070764,IP,162.159.134.234,443,172.16.42.226,60486,6,88
1669869800.154777,IP,172.16.42.226,60486,162.159.134.234,443,6,0
1669869800.792221,IP,172.16.42.1,1471,172.16.42.226,59718,6,365
1669869801.22039,IP,172.16.42.226,59718,172.16.42.1,1471,6,0
1669869803.149249,IP,162.159.134.234,443,172.16.42.226,60486,6,94
1669869803.223048,IP,172.16.42.226,59718,172.16.42.1,1471,6,1095
1669869803.22328,IP,172.16.42.1,1471,172.16.42.226,59718,6,0
