timestamp,type,source_ip,source_port,destination_ip,destination_port,protocol,packet_size
1669868990.985669,IP,172.16.42.215,48540,13.226.237.229,443,6,0
1669868990.992067,IP,13.226.237.229,443,172.16.42.215,48540,6,1428
1669868990.992688,IP,13.226.237.229,443,172.16.42.215,48540,6,1428
1669868990.993245,IP,13.226.237.229,443,172.16.42.215,48540,6,1428
1669868990.993812,IP,13.226.237.229,443,172.16.42.215,48540,6,1428
1669868990.998018,IP,13.226.237.229,443,172.16.42.215,48540,6,1428
1669868990.998848,IP,13.226.237.229,443,172.16.42.215,48540,6,1428
1669868991.003568,IP,13.226.237.229,443,172.16.42.215,48540,6,1428
1669868991.003837,IP,13.226.237.229,443,172.16.42.215,48540,6,1428
1669868991.004689,IP,13.226.237.229,443,172.16.42.215,48540,6,1428
1669868991.004933,IP,13.226.237.229,443,172.16.42.215,48540,6,1428
1669868991.005151,IP,13.226.237.229,443,172.16.42.215,48540,6,1428
1669868991.005729,IP,13.226.237.229,443,172.16.42.215,48540,6,1428
1669868991.00623,IP,13.226.237.229,443,172.16.42.215,48540,6,1428
1669868991.007499,IP,13.226.237.229,443,172.16.42.215,48540,6,1428
1669868991.008073,IP,13.226.237.229,443,172.16.42.215,48540,6,1428
1669868991.009039,IP,13.226.237.229,443,172.16.42.215,48540,6,1428
1669868991.0168,IP,13.226.237.229,443,172.16.42.215,48540,6,1428
1669868991.020244,IP,13.226.237.229,443,172.16.42.215,48540,6,1428
1669868991.020904,IP,13.226.237.229,443,172.16.42.215,48540,6,1428
1669868991.021459,IP,13.226.237.229,443,172.16.42.215,48540,6,1428
1669868991.022346,IP,13.226.237.229,443,172.16.42.215,48540,6,1428
1669868991.022565,IP,13.226.237.229,443,172.16.42.215,48540,6,1428
1669868991.040286,IP,13.226.237.229,443,172.16.42.215,48540,6,1428
1669868991.041174,IP,13.226.237.229,443,172.16.42.215,48540,6,404
1669868991.045147,IP,172.16.42.215,48540,13.226.237.229,443,6,0
1669868991.091606,IP,172.16.42.215,48540,13.226.237.229,443,6,0
1669868991.18808,IP,172.16.42.226,56940,172.16.42.1,1471,6,0
1669868991.19225,IP,172.16.42.215,48540,13.226.237.229,443,6,0
1669868991.199066,IP,13.226.237.229,443,172.16.42.215,48540,6,1428
1669868991.200063,IP,13.226.237.229,443,172.16.42.215,48540,6,1428
1669868991.201316,IP,13.226.237.229,443,172.16.42.215,48540,6,1428
1669868991.201874,IP,13.226.237.229,443,172.16.42.215,48540,6,1428
1669868991.204796,IP,13.226.237.229,443,172.16.42.215,48540,6,1428
1669868991.205302,IP,13.226.237.229,443,172.16.42.215,48540,6,1428
1669868991.206339,IP,13.226.237.229,443,172.16.42.215,48540,6,1428
1669868991.206968,IP,13.226.237.229,443,172.16.42.215,48540,6,1428
1669868991.2113,IP,13.226.237.229,443,172.16.42.215,48540,6,1428
1669868991.211927,IP,13.226.237.229,443,172.16.42.215,48540,6,1428
1669868991.212467,IP,13.226.237.229,443,172.16.42.215,48540,6,1428
1669868991.213261,IP,13.226.237.229,443,172.16.42.215,48540,6,1428
1669868991.21558,IP,13.226.237.229,443,172.16.42.215,48540,6,1428
1669868991.218996,IP,13.226.237.229,443,172.16.42.215,48540,6,1024
1669868991.220513,IP,13.226.237.229,443,172.16.42.215,48540,6,1428
1669868991.22081,IP,13.226.237.229,443,172.16.42.215,48540,6,1428
1669868991.221469,IP,13.226.237.229,443,172.16.42.215,48540,6,1428
1669868991.22249,IP,13.226.237.229,443,172.16.42.215,48540,6,1428
1669868991.224308,IP,13.226.237.229,443,172.16.42.215,48540,6,1428
1669868991.224775,IP,13.226.237.229,443,172.16.42.215,48540,6,1428
1669868991.230071,IP,13.226.237.229,443,172.16.42.215,48540,6,1428
1669868991.234781,IP,13.226.237.229,443,172.16.42.215,48540,6,1428
1669868991.235422,IP,13.226.237.229,443,172.16.42.215,48540,6,1428
1669868991.235628,IP,13.226.237.229,443,172.16.42.215,48540,6,808
1669868991.240955,IP,172.16.42.215,48540,13.226.237.229,443,6,0
1669868991.28346,IP,172.16.42.215,48540,13.226.237.229,443,6,0
1669868991.496364,IP,172.16.42.215,48540,13.226.237.229,443,6,0
1669868991.503815,IP,13.226.237.229,443,172.16.42.215,48540,6,1428
1669868991.504497,IP,13.226.237.229,443,172.16.42.215,48540,6,1428
1669868991.506107,IP,13.226.237.229,443,172.16.42.215,48540,6,1428
1669868991.506941,IP,13.226.237.229,443,172.16.42.215,48540,6,1428
1669868991.508951,IP,13.226.237.229,443,172.16.42.215,48540,6,1428
1669868991.509652,IP,13.226.237.229,443,172.16.42.215,48540,6,1428
1669868991.511309,IP,13.226.237.229,443,172.16.42.215,48540,6,1428
1669868991.512371,IP,13.226.237.229,443,172.16.42.215,48540,6,1428
1669868991.514268,IP,13.226.237.229,443,172.16.42.215,48540,6,1428
1669868991.514922,IP,13.226.237.229,443,172.16.42.215,48540,6,1428
1669868991.52622,IP,13.226.237.229,443,172.16.42.215,48540,6,1428
1669868991.526951,IP,13.226.237.229,443,172.16.42.215,48540,6,1428
1669868991.527238,IP,13.226.237.229,443,172.16.42.215,48540,6,1428
1669868991.527563,IP,13.226.237.229,443,172.16.42.215,48540,6,1428
1669868991.528022,IP,13.226.237.229,443,172.16.42.215,48540,6,1428
1669868991.528209,IP,13.226.237.229,443,172.16.42.215,48540,6,1428
1669868991.529796,IP,13.226.237.229,443,172.16.42.215,48540,6,1428
1669868991.530557,IP,13.226.237.229,443,172.16.42.215,48540,6,1428
1669868991.531103,IP,13.226.237.229,443,172.16.42.215,48540,6,1428
1669868991.533413,IP,13.226.237.229,443,172.16.42.215,48540,6,1428
1669868991.543277,IP,13.226.237.229,443,172.16.42.215,48540,6,1428
1669868991.54393,IP,13.226.237.229,443,172.16.42.215,48540,6,1428
1669868991.544809,IP,13.226.237.229,443,172.16.42.215,48540,6,1428
1669868991.54506,IP,13.226.237.229,443,172.16.42.215,48540,6,404
1669868991.546615,IP,172.16.42.215,48540,13.226.237.229,443,6,0
1669868991.587358,IP,172.16.42.215,48540,13.226.237.229,443,6,0
1669868991.721788,IP,172.16.42.226,60486,162.159.134.234,443,6,54
1669868991.730528,IP,162.159.134.234,443,172.16.42.226,60486,6,0
1669868991.739106,IP,172.16.42.215,48540,13.226.237.229,443,6,0
1669868991.746238,IP,13.226.237.229,443,172.16.42.215,48540,6,1428
1669868991.746755,IP,13.226.237.229,443,172.16.42.215,48540,6,1428
1669868991.748052,IP,13.226.237.229,443,172.16.42.215,48540,6,1428
1669868991.748808,IP,13.226.237.229,443,172.16.42.215,48540,6,1428
1669868991.754031,IP,13.226.237.229,443,172.16.42.215,48540,6,1428
1669868991.754705,IP,13.226.237.229,443,172.16.42.215,48540,6,1428
1669868991.755246,IP,13.226.237.229,443,172.16.42.215,48540,6,1428
1669868991.755681,IP,13.226.237.229,443,172.16.42.215,48540,6,1428
1669868991.759838,IP,13.226.237.229,443,172.16.42.215,48540,6,1428
1669868991.766774,IP,13.226.237.229,443,172.16.42.215,48540,6,1428
1669868991.767672,IP,13.226.237.229,443,172.16.42.215,48540,6,1428
1669868991.768311,IP,13.226.237.229,443,172.16.42.215,48540,6,1428
1669868991.768522,IP,13.226.237.229,443,172.16.42.215,48540,6,216
1669868991.768676,IP,13.226.237.229,443,172.16.42.215,48540,6,1428
1669868991.771117,IP,13.226.237.229,443,172.16.42.215,48540,6,1428
1669868991.778355,IP,13.226.237.229,443,172.16.42.215,48540,6,1428
1669868991.778984,IP,13.226.237.229,443,172.16.42.215,48540,6,1428
1669868991.779584,IP,13.226.237.229,443,172.16.42.215,48540,6,1428
1669868991.780268,IP,13.226.237.229,443,172.16.42.215,48540,6,1428
1669868991.791559,IP,172.16.42.215,48540,13.226.237.229,443,6,0
1669868991.805153,IP,162.159.134.234,443,172.16.42.226,60486,6,45
1669868991.806231,IP,172.16.42.215,48540,13.226.237.229,443,6,0
1669868991.806232,IP,172.16.42.215,48540,13.226.237.229,443,6,0
1669868991.806232,IP,172.16.42.215,48540,13.226.237.229,443,6,0
1669868991.806232,IP,172.16.42.215,48540,13.226.237.229,443,6,0
1669868991.806233,IP,172.16.42.215,48540,13.226.237.229,443,6,0
1669868991.806233,IP,172.16.42.215,48540,13.226.237.229,443,6,0
1669868991.806233,IP,172.16.42.215,48540,13.226.237.229,443,6,0
1669868991.806233,IP,172.16.42.215,48540,13.226.237.229,443,6,0
1669868991.807728,IP,172.16.42.215,48540,13.226.237.229,443,6,0
1669868991.807729,IP,172.16.42.215,48540,13.226.237.229,443,6,0
1669868991.807729,IP,172.16.42.226,60486,162.159.134.234,443,6,0
1669868991.81318,IP,13.226.237.229,443,172.16.42.215,48540,6,1428
1669868991.848285,IP,13.226.237.229,443,172.16.42.215,48540,6,1428
1669868991.865845,IP,172.16.42.215,48540,13.226.237.229,443,6,0
1669868991.873416,IP,13.226.237.229,443,172.16.42.215,48540,6,1428
1669868991.874113,IP,13.226.237.229,443,172.16.42.215,48540,6,1428
1669868991.875467,IP,13.226.237.229,443,172.16.42.215,48540,6,1163
1669868991.90561,IP,172.16.42.215,48540,13.226.237.229,443,6,0
1669868992.005415,IP,172.16.42.215,48540,13.226.237.229,443,6,0
1669868992.406315,IP,172.16.42.215,48540,13.226.237.229,443,6,0
1669868992.458398,IP,172.16.42.226,44172,18.228.202.30,123,17,228
1669868992.638543,IP,18.228.202.30,123,172.16.42.226,44172,17,228
1669868992.862576,IP,162.159.134.234,443,172.16.42.226,60486,6,393
1669868993.031318,IP,172.16.42.226,60486,162.159.134.234,443,6,0
1669868993.11354,IP,172.16.42.215,48540,13.226.237.229,443,6,0
1669868993.237124,IP,172.16.42.226,56940,172.16.42.1,1471,6,1095
1669868993.237354,IP,172.16.42.1,1471,172.16.42.226,56940,6,0
1669868993.241955,IP,172.16.42.1,1471,172.16.42.226,56940,6,139
1669868993.242882,IP,172.16.42.226,56940,172.16.42.1,1471,6,0
1669868993.414828,IP,162.159.134.234,443,172.16.42.226,60486,6,139
1669868993.423918,IP,162.159.134.234,443,172.16.42.226,60486,6,38
1669868993.728904,IP,162.159.134.234,443,172.16.42.226,60486,6,83
1669868993.76542,IP,162.159.134.234,443,172.16.42.226,60486,6,43
1669868993.850746,IP,172.16.42.226,60486,162.159.134.234,443,6,0
1669868993.85136,IP,172.16.42.226,60486,162.159.134.234,443,6,0
1669868993.851362,IP,172.16.42.226,60486,162.159.134.234,443,6,0
1669868993.851362,IP,172.16.42.226,60486,162.159.134.234,443,6,0
1669868993.969723,IP,162.159.134.234,443,172.16.42.226,60486,6,61
1669868994.054906,IP,172.16.42.226,60486,162.159.134.234,443,6,0
1669868994.632514,IP,172.16.42.215,48540,13.226.237.229,443,6,0
1669868995.122533,IP,172.16.42.226,56532,137.190.2.4,123,17,48
1669868995.160176,IP,137.190.2.4,123,172.16.42.226,56532,17,48
1669868995.548071,IP,172.16.42.215,48540,13.226.237.229,443,6,322
1669868995.561053,IP,13.226.237.229,443,172.16.42.215,48540,6,614
1669868995.562,IP,13.226.237.229,443,172.16.42.215,48540,6,1428
1669868995.562384,IP,13.226.237.229,443,172.16.42.215,48540,6,1428
1669868995.563493,IP,13.226.237.229,443,172.16.42.215,48540,6,1428
1669868995.564215,IP,13.226.237.229,443,172.16.42.215,48540,6,1428
1669868995.569696,IP,172.16.42.215,48540,13.226.237.229,443,6,0
1669868995.573793,IP,172.16.42.215,48540,13.226.237.229,443,6,0
1669868995.573794,IP,172.16.42.215,48540,13.226.237.229,443,6,0
1669868995.573794,IP,172.16.42.215,48540,13.226.237.229,443,6,0
1669868995.574684,IP,172.16.42.215,48540,13.226.237.229,443,6,0
1669868995.59662,IP,13.226.237.229,443,172.16.42.215,48540,6,1428
1669868995.60019,IP,13.226.237.229,443,172.16.42.215,48540,6,1428
1669868995.600356,IP,13.226.237.229,443,172.16.42.215,48540,6,1428
1669868995.600466,IP,13.226.237.229,443,172.16.42.215,48540,6,1428
1669868995.600552,IP,13.226.237.229,443,172.16.42.215,48540,6,1428
1669868995.600623,IP,13.226.237.229,443,172.16.42.215,48540,6,1428
1669868995.600752,IP,13.226.237.229,443,172.16.42.215,48540,6,1428
1669868995.600871,IP,13.226.237.229,443,172.16.42.215,48540,6,1428
1669868995.600974,IP,13.226.237.229,443,172.16.42.215,48540,6,1428
1669868995.601058,IP,13.226.237.229,443,172.16.42.215,48540,6,1428
1669868995.601149,IP,13.226.237.229,443,172.16.42.215,48540,6,1428
1669868995.601225,IP,13.226.237.229,443,172.16.42.215,48540,6,1428
1669868995.601305,IP,13.226.237.229,443,172.16.42.215,48540,6,1428
1669868995.601374,IP,13.226.237.229,443,172.16.42.215,48540,6,1428
1669868995.601865,IP,13.226.237.229,443,172.16.42.215,48540,6,1428
