timestamp,type,source_ip,source_port,destination_ip,destination_port,protocol,packet_size
1669870629.344068,IP,172.16.42.1,1471,172.16.42.226,37468,6,245
1669870629.40151,IP,162.159.134.234,443,172.16.42.226,60486,6,44
1669870629.801302,IP,172.16.42.226,56320,162.159.129.232,443,6,0
1669870629.801303,IP,172.16.42.226,56314,162.159.129.232,443,6,0
1669870629.803289,IP,172.16.42.226,60486,162.159.134.234,443,6,0
1669870629.80329,IP,172.16.42.226,37468,172.16.42.1,1471,6,0
1669870629.808702,IP,162.159.129.232,443,172.16.42.226,56314,6,0
1669870629.809143,IP,162.159.129.232,443,172.16.42.226,56320,6,0
1669870629.868166,IP,162.159.134.234,443,172.16.42.226,60486,6,70
1669870629.870268,IP,172.16.42.226,60486,162.159.134.234,443,6,0
1669870630.873293,IP,162.159.134.234,443,172.16.42.226,60486,6,343
1669870631.056168,IP,172.16.42.226,34356,35.186.224.47,443,6,43
1669870631.056661,IP,172.16.42.226,60486,162.159.134.234,443,6,0
1669870631.062579,IP,35.186.224.47,443,172.16.42.226,34356,6,0
1669870631.110368,IP,35.186.224.47,443,172.16.42.226,34356,6,40
1669870631.124452,IP,172.16.42.226,34356,35.186.224.47,443,6,0
1669870632.261033,IP,172.16.42.215,38168,99.83.183.187,443,6,296
1669870632.261555,IP,172.16.42.215,38168,99.83.183.187,443,6,2896
1669870632.262519,IP,172.16.42.215,38168,99.83.183.187,443,6,3544
1669870632.267538,IP,172.16.42.215,38168,99.83.183.187,443,6,198
1669870632.279779,IP,172.16.42.215,38168,99.83.183.187,443,6,198
1669870632.291384,IP,172.16.42.215,38168,99.83.183.187,443,6,278
1669870632.328049,IP,172.16.42.215,38168,99.83.183.187,443,6,278
1669870632.335535,IP,99.83.183.187,443,172.16.42.215,38168,6,0
1669870632.336094,IP,99.83.183.187,443,172.16.42.215,38168,6,0
1669870632.33661,IP,99.83.183.187,443,172.16.42.215,38168,6,0
1669870632.339007,IP,99.83.183.187,443,172.16.42.215,38168,6,0
1669870632.339576,IP,99.83.183.187,443,172.16.42.215,38168,6,0
1669870632.342937,IP,99.83.183.187,443,172.16.42.215,38168,6,0
1669870632.347827,IP,172.16.42.215,38168,99.83.183.187,443,6,834
1669870632.347828,IP,172.16.42.215,38168,99.83.183.187,443,6,278
1669870632.353961,IP,172.16.42.215,38168,99.83.183.187,443,6,278
1669870632.356533,IP,99.83.183.187,443,172.16.42.215,38168,6,0
1669870632.357058,IP,99.83.183.187,443,172.16.42.215,38168,6,42
1669870632.364232,IP,172.16.42.215,38168,99.83.183.187,443,6,278
1669870632.374824,IP,172.16.42.215,38168,99.83.183.187,443,6,278
1669870632.385667,IP,172.16.42.215,38168,99.83.183.187,443,6,278
1669870632.397467,IP,172.16.42.215,38168,99.83.183.187,443,6,358
1669870632.40221,IP,99.83.183.187,443,172.16.42.215,38168,6,0
1669870632.406205,IP,172.16.42.215,38168,99.83.183.187,443,6,278
1669870632.422217,IP,99.83.183.187,443,172.16.42.215,38168,6,0
1669870632.437603,IP,172.16.42.215,38168,99.83.183.187,443,6,278
1669870632.437605,IP,172.16.42.215,38168,99.83.183.187,443,6,278
1669870632.438747,IP,99.83.183.187,443,172.16.42.215,38168,6,0
1669870632.439399,IP,172.16.42.215,38168,99.83.183.187,443,6,278
1669870632.450206,IP,172.16.42.215,38168,99.83.183.187,443,6,278
1669870632.459138,IP,172.16.42.215,38168,99.83.183.187,443,6,278
