apower,voltage,current,time,state
1.4,119.8,0.029,1669870630,questions
1.4,119.8,0.028,1669870631,questions
1.4,119.8,0.028,1669870632,questions
1.7,120.1,0.028,1669870634,questions
1.7,120.1,0.028,1669870635,questions
1.9,120.1,0.035,1669870636,questions
1.9,120.1,0.035,1669870637,questions
2.4,120.2,0.035,1669870638,questions
2.4,120.2,0.035,1669870639,questions
2.5,120.2,0.043,1669870640,questions
2.5,120.2,0.043,1669870641,questions
2.6,120.1,0.043,1669870642,questions
2.6,120.1,0.045,1669870643,questions
2.6,120.1,0.045,1669870644,questions
2.1,120.2,0.045,1669870646,questions
2.1,120.2,0.045,1669870647,questions
2.1,120.2,0.036,1669870648,questions
2.1,120.2,0.036,1669870649,questions
2.6,119.8,0.036,1669870650,questions
2.6,119.8,0.036,1669870651,questions
2.7,119.8,0.045,1669870652,questions
2.7,119.8,0.045,1669870653,questions
2.6,119.8,0.045,1669870654,questions
2.5,119.8,0.044,1669870655,questions
2.5,119.8,0.044,1669870656,questions
2.0,119.8,0.044,1669870657,questions
2.0,119.8,0.044,1669870658,questions
2.0,119.8,0.038,1669870659,questions
2.0,119.8,0.038,1669870661,questions
2.3,120.1,0.038,1669870662,questions
2.3,120.1,0.038,1669870663,questions
2.7,120.1,0.044,1669870664,questions
2.7,120.1,0.044,1669870665,questions
2.6,120.1,0.044,1669870666,questions
2.6,120.1,0.044,1669870667,questions
2.5,120.1,0.044,1669870668,questions
2.5,120.1,0.044,1669870669,questions
2.3,120.1,0.044,1669870670,questions
2.4,120.1,0.04,1669870671,questions
2.4,120.1,0.04,1669870672,questions
2.0,120.1,0.04,1669870673,questions
2.0,120.1,0.04,1669870674,questions
2.7,120.1,0.045,1669870675,questions
2.7,120.1,0.045,1669870677,questions
2.7,119.9,0.045,1669870678,questions
2.7,119.9,0.045,1669870679,questions
2.4,119.9,0.043,1669870680,questions
2.4,119.9,0.043,1669870681,questions
2.4,120.1,0.043,1669870682,questions
2.4,120.1,0.043,1669870683,questions
2.2,120.1,0.041,1669870684,questions
2.7,120.2,0.041,1669870685,questions
2.7,120.2,0.041,1669870686,questions
2.8,120.2,0.046,1669870687,questions
2.8,120.2,0.046,1669870688,questions
2.5,120.2,0.046,1669870689,questions
2.5,120.2,0.046,1669870690,questions
2.6,120.2,0.041,1669870692,questions
2.6,120.2,0.041,1669870693,questions
1.9,120.3,0.041,1669870694,questions
1.9,120.3,0.041,1669870695,questions
1.6,120.3,0.029,1669870696,questions
1.6,120.3,0.029,1669870697,questions
1.7,120.1,0.029,1669870698,questions
1.7,120.1,0.029,1669870699,questions
2.1,120.1,0.038,1669870700,questions
2.6,119.7,0.038,1669870701,questions
2.6,119.7,0.038,1669870702,questions
2.7,119.7,0.046,1669870703,questions
2.7,119.7,0.046,1669870704,questions
2.4,119.7,0.046,1669870705,questions
2.4,119.7,0.046,1669870707,questions
2.4,119.7,0.041,1669870708,questions
2.4,119.7,0.041,1669870709,questions
2.2,119.8,0.041,1669870710,questions
2.2,119.8,0.041,1669870711,questions
2.1,119.8,0.04,1669870712,questions
2.1,119.8,0.04,1669870713,questions
2.8,119.8,0.04,1669870714,questions
2.6,119.8,0.044,1669870715,questions
2.6,119.8,0.044,1669870716,questions
2.6,120.3,0.044,1669870717,questions
2.6,120.3,0.044,1669870718,questions
2.5,120.3,0.044,1669870719,questions
2.5,120.3,0.044,1669870720,questions
2.1,120.3,0.044,1669870722,questions
2.1,120.3,0.044,1669870723,questions
2.1,120.3,0.037,1669870724,questions
2.1,120.3,0.037,1669870725,questions
2.3,120.2,0.037,1669870726,questions
2.3,120.2,0.037,1669870727,questions
2.7,120.2,0.046,1669870728,questions
2.7,120.2,0.046,1669870729,questions
2.6,120.2,0.046,1669870730,questions
2.5,120.2,0.043,1669870731,questions
2.5,120.2,0.043,1669870732,questions
2.3,120.2,0.043,1669870733,questions
2.3,120.2,0.043,1669870734,questions
2.3,120.2,0.041,1669870735,questions
2.3,120.2,0.041,1669870736,questions
2.4,120.2,0.041,1669870738,questions
2.4,120.2,0.041,1669870739,questions
2.6,120.2,0.046,1669870740,questions
2.6,120.2,0.046,1669870741,questions
2.6,120.3,0.046,1669870742,questions
2.6,120.3,0.046,1669870743,questions
2.5,120.3,0.044,1669870744,questions
2.5,120.3,0.044,1669870745,questions
2.4,120.3,0.044,1669870746,questions
2.2,120.3,0.039,1669870747,questions
2.2,120.3,0.039,1669870748,questions
