apower,voltage,current,time,state
0.9,120.1,0.021,1669436154,0
0.9,120.1,0.021,1669436155,0
1.0,120.1,0.022,1669436156,0
1.0,120.1,0.022,1669436158,0
0.9,120.1,0.022,1669436159,0
0.9,120.1,0.022,1669436160,0
0.9,120.1,0.021,1669436161,0
0.9,120.1,0.021,1669436162,0
0.9,120.1,0.021,1669436163,1
0.9,120.1,0.021,1669436164,0
1.3,120.1,0.033,1669436165,0
1.5,120.1,0.033,1669436166,0
1.5,120.1,0.033,1669436167,0
1.5,120.1,0.024,1669436168,0
1.5,120.1,0.024,1669436169,0
1.0,120.1,0.024,1669436170,0
1.0,120.1,0.024,1669436171,0
1.0,120.1,0.021,1669436172,0
1.0,120.1,0.021,1669436174,0
1.0,120.1,0.021,1669436175,0
1.0,120.1,0.021,1669436176,0
0.9,120.1,0.022,1669436177,0
0.9,120.1,0.022,1669436178,0
1.0,120.1,0.022,1669436179,0
0.9,120.1,0.029,1669436180,1
0.9,120.1,0.029,1669436181,0
1.8,120.1,0.029,1669436182,0
1.8,120.1,0.029,1669436183,0
1.3,120.1,0.025,1669436184,0
1.3,120.1,0.025,1669436185,0
1.3,120.1,0.025,1669436186,0
1.3,120.1,0.025,1669436187,0
0.9,120.1,0.022,1669436189,0
0.9,120.1,0.022,1669436190,0
0.9,120.1,0.022,1669436191,0
0.9,120.1,0.022,1669436192,0
1.0,120.1,0.022,1669436193,0
1.0,120.1,0.022,1669436194,1
0.9,119.8,0.022,1669436195,0
1.7,119.8,0.029,1669436196,0
1.7,119.8,0.029,1669436197,0
1.3,120.1,0.029,1669436198,0
1.3,120.1,0.029,1669436199,0
0.9,120.1,0.021,1669436200,0
0.9,120.1,0.021,1669436201,0
0.9,120.0,0.021,1669436202,0
0.9,120.0,0.021,1669436204,0
1.0,120.0,0.022,1669436205,0
1.0,120.0,0.022,1669436206,0
0.9,120.1,0.022,1669436207,1
0.9,120.1,0.022,1669436208,0
1.2,120.1,0.03,1669436209,0
1.5,120.3,0.03,1669436210,0
1.5,120.3,0.03,1669436211,0
1.3,120.3,0.024,1669436212,0
1.3,120.3,0.024,1669436213,0
1.0,120.1,0.024,1669436214,0
1.0,120.1,0.024,1669436215,0
0.9,120.1,0.022,1669436216,0
0.9,120.1,0.022,1669436217,0
0.9,120.2,0.022,1669436219,0
0.9,120.2,0.022,1669436220,0
0.9,120.2,0.022,1669436221,0
0.9,120.2,0.022,1669436222,0
1.0,120.1,0.022,1669436223,1
1.0,120.1,0.022,1669436224,0
1.3,120.1,0.035,1669436225,0
1.5,120.0,0.035,1669436226,0
1.5,120.0,0.035,1669436227,0
1.3,120.0,0.023,1669436228,0
1.3,120.0,0.023,1669436229,0
1.0,119.9,0.023,1669436230,0
1.0,119.9,0.023,1669436232,0
0.9,119.9,0.021,1669436233,0
0.9,119.9,0.021,1669436234,0
1.0,119.8,0.021,1669436235,0
1.0,119.8,0.021,1669436236,0
1.0,119.8,0.021,1669436237,1
1.1,120.2,0.021,1669436238,0
1.1,120.2,0.021,1669436239,0
1.5,120.2,0.029,1669436240,0
1.5,120.2,0.029,1669436241,0
1.2,119.9,0.029,1669436242,0
1.2,119.9,0.029,1669436243,0
0.9,119.9,0.022,1669436244,0
0.9,119.9,0.022,1669436245,0
1.0,119.9,0.022,1669436247,0
1.0,119.9,0.022,1669436248,0
1.0,119.9,0.022,1669436249,0
1.0,119.9,0.022,1669436250,0
1.0,119.8,0.022,1669436251,0
1.0,119.8,0.022,1669436252,0
0.9,119.8,0.022,1669436253,0
1.0,119.9,0.022,1669436254,1
1.0,119.9,0.022,1669436255,0
1.4,119.9,0.029,1669436256,0
1.4,119.9,0.029,1669436257,0
1.5,119.9,0.029,1669436258,0
1.5,119.9,0.029,1669436259,0
0.9,119.9,0.022,1669436261,0
0.9,119.9,0.022,1669436262,0
1.0,119.9,0.022,1669436263,0
1.0,119.9,0.022,1669436264,0
1.0,119.9,0.021,1669436265,0
1.0,119.9,0.021,1669436266,0
0.9,119.8,0.021,1669436267,0
0.9,119.8,0.021,1669436268,1
0.9,119.8,0.021,1669436269,0
1.2,119.7,0.021,1669436270,0
1.2,119.7,0.021,1669436271,0
